=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2025-11-10_23-5-45
====================================================================================
23:5:45 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
23:5:45 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
23:5:45 | [PermissionManager] Perm (FreeCamera) has been registered!
23:5:45 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
23:5:45 | [PermissionManager] Perm (MenuItemManager) has been registered!
23:5:45 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
23:5:45 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
23:5:45 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
23:5:45 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
23:5:45 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
23:5:45 | [PermissionManager] Perm (MenuServerManager) has been registered!
23:5:45 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
23:5:45 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
23:5:45 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
23:5:45 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
23:5:45 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
23:5:45 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
23:5:45 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
23:5:45 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
23:5:45 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
23:5:45 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
23:5:45 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
23:5:45 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
23:5:45 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
23:5:45 | [PermissionManager] Perm (MenuObjectManager) has been registered!
23:5:45 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
23:5:45 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
23:5:45 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
23:5:45 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
23:5:45 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
23:5:45 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
23:5:45 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
23:5:45 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
23:5:45 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
23:5:45 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
23:5:45 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
23:5:45 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
23:5:45 | [PermissionManager] Perm (MenuBansManager) has been registered!
23:5:45 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
23:5:45 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
23:5:45 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
23:5:45 | [PermissionManager] Perm (MenuWebHooks) has been registered!
23:5:45 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
23:5:45 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
23:5:45 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
23:5:45 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
23:5:45 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
23:5:45 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
23:5:45 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
23:5:45 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
23:5:45 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
23:5:45 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
23:5:45 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
23:5:45 | [PermissionManager] Perm (EspToolsMenu) has been registered!
23:5:45 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
23:5:45 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
23:5:45 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
23:5:45 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
23:5:45 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
23:5:45 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
23:5:45 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
23:5:45 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
23:5:45 | [PermissionManager] Adding Super Admin (76561199240649723)
23:5:45 | [PermissionManager] Adding Super Admin (76561199011835169)
23:5:45 | [PermissionManager] Loaded UserGroups.json
23:5:45 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
23:5:45 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
23:5:45 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
23:5:45 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
23:5:45 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
23:5:45 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
23:5:45 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
23:5:45 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
23:5:45 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
23:5:45 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
23:5:45 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
23:5:45 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
23:5:45 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
23:5:45 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
23:5:45 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
23:5:45 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
23:5:45 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
23:5:45 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
23:5:45 | Building Sets Loaded: 0
23:5:45 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
23:5:45 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
23:7:35 | Player "Syntactix" (steamId=76561199240649723) connected to server!
23:8:39 | "Syntactix" (steamid=76561199240649723) Spawned Item: (SC_FANTvest)
23:8:40 | "Syntactix" (steamid=76561199240649723) Spawned Item: (SC_FANTtops)
23:8:42 | "Syntactix" (steamid=76561199240649723) Spawned Item: (SC_FANTshoes)
23:8:43 | "Syntactix" (steamid=76561199240649723) Spawned Item: (SC_FANTpants)
23:8:47 | "Syntactix" (steamid=76561199240649723) Spawned Item: (SC_FANTmasks_1)
23:8:48 | "Syntactix" (steamid=76561199240649723) Spawned Item: (SC_FANTbelt_Black)
23:8:51 | "Syntactix" (steamid=76561199240649723) Spawned Item: (SC_FANTbackpacks)
23:9:10 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<3708.619629, 402.001953, 5972.861816>)
23:10:12 | "Syntactix" (steamid=76561199240649723) toggled freecam
23:10:22 | "Syntactix" (steamid=76561199240649723) toggled freecam
23:10:26 | [WeatherManager] Send Data Count is 0
23:10:31 | [Time Manager] Setting Date to 2025/9/20 8:19
23:12:4 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<3300.964600, 575.237061, 7010.850098>)
23:12:10 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<3935.873779, 348.558228, 7877.656250>)
23:12:14 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4486.007324, 316.375092, 8252.678711>)
23:12:24 | "Syntactix" (steamid=76561199240649723) gave unlimited ammo to (steamid=76561199240649723)
23:13:8 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4569.145508, 318.161438, 8304.830078>)
23:13:9 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4581.063965, 318.784393, 8313.602539>)
23:13:9 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4590.038574, 319.198669, 8321.352539>)
23:13:10 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4593.637695, 319.451996, 8334.482422>)
23:13:11 | "Syntactix" (steamid=76561199240649723) teleported to crosshair (pos=<4592.719727, 319.304749, 8349.237305>)
